name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
calais,2022-05-21,15.8,12.1,13.9,15.8,12.1,13.9,10.7,81.5,0.021,100,4.17,rain,0,0,46.3,25.7,251.1,1021.7,61.6,12.9,192.4,16.5,6,10,2022-05-21T05:55:08,2022-05-21T21:44:09,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"07002099999,C1037,C9694,03797035047,06400099999,07010099999,07003099999"
calais,2022-05-22,18.8,9.5,14.7,18.8,8.5,14.6,10.1,74.7,0,0,0,,0,0,21.2,11.8,69.5,1015.1,28.8,16.5,299.5,25.7,9,10,2022-05-22T05:53:56,2022-05-22T21:45:30,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,06400099999,07010099999,07003099999"
calais,2022-05-23,16.3,12.9,14.5,16.3,12.9,14.5,12.2,86.2,6.186,100,62.5,rain,0,0,41.3,24,278.4,1003.3,94.7,11.2,66.3,5.8,2,10,2022-05-23T05:52:45,2022-05-23T21:46:49,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,06400099999,07010099999,07003099999"
calais,2022-05-24,14.7,11,12.9,14.7,11,12.9,9.7,81,2.883,100,33.33,rain,0,0,47.3,29.3,245.9,1006.3,72.6,16,153.8,13.3,6,10,2022-05-24T05:51:37,2022-05-24T21:48:07,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07002099999,C9694,03797035047,06400099999,07010099999,07003099999"
calais,2022-05-25,14.9,11,13.2,14.9,11,13.2,10.4,83.2,0.01,100,4.17,rain,0,0,61.6,38.4,229,1015,73.5,14.7,150.1,13.1,4,10,2022-05-25T05:50:31,2022-05-25T21:49:23,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07002099999,C9694,03797035047,06400099999,07010099999,07003099999"
calais,2022-05-26,16.3,11.1,14.2,16.3,11.1,14.2,11.6,84.7,0,0,0,,0,0,56.6,32.5,240.9,1021.9,65.4,12.6,226.9,19.6,7,10,2022-05-26T05:49:28,2022-05-26T21:50:38,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,06400099999,07010099999,07003099999"
calais,2022-05-27,17.5,13.2,15.5,17.5,13.2,15.5,10.9,75.6,0,0,0,rain,0,0,47.7,27,282.1,1023.9,52.4,16.9,300,25.8,9,10,2022-05-27T05:48:27,2022-05-27T21:51:51,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-28,15.6,10.6,13.1,15.6,10.6,13.1,8.1,72,0,0,0,rain,0,0,34.7,23.2,10.7,1024.4,54.8,19,251.1,21.5,10,10,2022-05-28T05:47:29,2022-05-28T21:53:03,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-29,14.8,9.8,11.8,14.8,6.9,11.6,6.5,70,0.221,100,20.83,rain,0,0,39.8,25.1,14.6,1018.8,87.6,19.5,231.7,20,7,10,2022-05-29T05:46:33,2022-05-29T21:54:12,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-30,15.6,6.4,11.2,15.6,5.7,10.8,6.1,72,0.006,100,8.33,rain,0,0,22.2,12.8,16.5,1014.5,79.9,20,150.8,13,6,10,2022-05-30T05:45:40,2022-05-30T21:55:20,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-31,17.9,7.9,13,17.9,6.6,12.9,6.9,68.8,0.089,100,29.17,rain,0,0,44.4,30.4,239.2,1013.2,87.2,19.6,169.9,14.7,9,10,2022-05-31T05:44:50,2022-05-31T21:56:27,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-06-01,17.1,9.9,13.6,17.1,8.9,13.6,7.9,69.9,0.176,100,4.17,rain,0,0,32.6,18.1,290,1016.8,63.3,19.8,219.7,18.9,8,10,2022-06-01T05:44:03,2022-06-01T21:57:31,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07002099999,C9694,03797035047,07009099999,D8013,06400099999,07010099999,07003099999"
calais,2022-06-02,18.2,5.4,13.2,18.2,4.3,13.1,8.8,76,0,0,0,,0,0,43.7,28.5,58.5,1020.6,31.7,18.1,301.1,25.8,9,10,2022-06-02T05:43:18,2022-06-02T21:58:33,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-06-03,19.6,9.6,15.4,19.6,8.8,15.4,11.3,77.6,0.254,100,8.33,rain,0,0,33.4,23.3,53.1,1017.3,64.5,15.7,306,26.4,9,10,2022-06-03T05:42:36,2022-06-03T21:59:33,0.13,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-06-04,18.7,14.7,16.4,18.7,14.7,16.4,12.9,80.1,0.357,100,33.33,rain,0,0,56.5,37.2,52.3,1018.4,88.5,16.9,197.1,17,8,10,2022-06-04T05:41:56,2022-06-04T22:00:31,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,D8013,06400099999,07010099999,07003099999"
calais,2022-06-05,17,14.1,15.6,17,14.1,15.6,14.4,93.1,1.547,100,50,rain,0,0,41.5,22.9,340.8,1014.9,97.5,6.2,81.9,7,3,10,2022-06-05T05:41:20,2022-06-05T22:01:27,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-06-06,17.9,11.5,14.5,17.9,11.5,14.5,11.3,82,0.191,100,16.67,rain,0,0,55.2,33.1,237.7,1015.4,92.7,18.4,124.8,10.8,5,10,2022-06-06T05:40:47,2022-06-06T22:02:20,0.23,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,D8013,06400099999,07010099999,07003099999"
calais,2022-06-07,19.3,11,15,19.3,11,15,12.4,84.9,0.493,100,50,rain,0,0,46.8,26.7,235.4,1013.4,85.7,17.9,191.9,16.6,8,10,2022-06-07T05:40:16,2022-06-07T22:03:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-06-08,19.1,13,15.6,19.1,13,15.6,13.2,86.3,2.584,100,41.67,rain,0,0,58.8,39.4,231.2,1007.4,94.3,16.6,127.4,10.8,6,10,2022-06-08T05:39:48,2022-06-08T22:04:00,0.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-06-09,20.2,12.9,16.3,20.2,12.9,16.3,11.2,72.8,0.703,100,4.17,rain,0,0,51,30.9,247.6,1015.7,88.5,19,222.1,19.1,7,10,2022-06-09T05:39:23,2022-06-09T22:04:46,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-06-10,20.5,14.7,17.3,20.5,14.7,17.3,13.3,78.1,0.18,100,12.5,rain,0,0,52.5,32.5,227,1020.7,85.2,19,265,23,10,10,2022-06-10T05:39:02,2022-06-10T22:05:30,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-06-11,20.7,13,17.1,20.7,13,17.1,11.3,70.4,0,0,0,,0,0,50.1,28.7,236.7,1023,39.1,18,308.8,26.6,10,10,2022-06-11T05:38:43,2022-06-11T22:06:11,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-06-12,20.6,11.4,16.5,20.6,11.4,16.5,10.4,69.9,0,0,0,rain,0,0,53.3,29,251.2,1023.8,32.1,17.8,245.9,21.4,7,10,2022-06-12T05:38:27,2022-06-12T22:06:50,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-06-13,18.7,13,16.2,18.7,13,16.2,8.8,62.9,0,0,0,,0,0,34.8,20.4,333.8,1024.6,44.2,19.7,281.8,24.4,9,10,2022-06-13T05:38:14,2022-06-13T22:07:26,0.46,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,D8013,06400099999,07010099999,07003099999"
calais,2022-06-14,21.9,8.1,15.8,21.9,6.5,15.7,8.7,65.4,0,0,0,,0,0,43.4,28.5,80.7,1022.1,24.5,19.5,331.4,28.6,9,10,2022-06-14T05:38:04,2022-06-14T22:07:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-06-15,23.1,9.5,17.3,23.1,8.8,17.3,10.6,67.1,0.176,100,4.17,rain,0,0,36.1,24.3,59.3,1019,30.6,17,318.9,27.3,9,10,2022-06-15T05:37:57,2022-06-15T22:08:29,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,E4195,07003099999"
calais,2022-06-16,24,11.4,18.5,24,11.4,18.5,13.1,72.9,0.176,100,4.17,rain,0,0,25.7,17.8,23.4,1022.1,19.7,13.4,313.3,27.2,8,10,2022-06-16T05:37:53,2022-06-16T22:08:57,0.57,Rain,Clear conditions throughout the day with morning rain.,rain,"07002099999,C9694,03797035047,07009099999,D8013,06400099999,07010099999,07003099999"
calais,2022-06-17,30.8,15.1,23.5,29.4,15.1,23.1,11.9,52.7,0.003,100,4.17,rain,0,0,45.7,28.5,216.2,1021.3,46.5,19.6,321.4,27.5,9,10,2022-06-17T05:37:52,2022-06-17T22:09:22,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
